EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,5,6,6,7,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
7,7,7,7,5,6,6,7,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
7,7,7,7,5,6,6,7,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
7,7,8,7,5,6,6,7,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
7,7,6,7,5,6,6,6,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
8,7,8,7,5,6,7,7,4,12,plaat; eesti; seen; raadio; ansambel; inglise; album; šokolaad; stuudio; lugu; queen
7,5,8,7,5,8,7,7,4,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
4,5,8,5,5,8,7,8,4,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
6,8,5,5,6,8,8,7,4,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
7,5,7,6,8,8,7,10,4,12,seen; šokolaad; stuudio; plaat; eesti; raadio; inglise; ansambel; album; lugu; queen
8,7,7,8,8,7,7,8,4,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
