EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
11,8,7,8,7,6,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
11,8,7,8,7,7,6,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
9,8,7,7,7,8,6,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
9,8,8,8,9,10,4,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,8,8,9,9,10,5,9,10,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
