EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,9,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,7,8,9,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,7,8,9,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,7,8,9,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,7,8,10,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,7,8,10,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,7,8,10,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,7,8,10,7,7,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,7,9,11,7,8,9,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,7,9,10,8,8,10,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
9,6,9,10,8,7,10,8,8,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
