EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,1,1,2,2,1,1,1,13,leimus; interaktiivne; epp; näitus; ivar
3,3,1,1,2,2,1,1,1,13,leimus; interaktiivne; epp; näitus; ivar
3,3,1,1,2,2,1,1,1,13,leimus; interaktiivne; epp; näitus; ivar
3,3,3,1,2,2,1,1,1,13,leimus; interaktiivne; epp; näitus; ivar
3,3,3,1,2,2,1,2,1,13,leimus; interaktiivne; epp; näitus; ivar
4,3,2,1,2,3,1,2,1,13,leimus; interaktiivne; epp; näitus; ivar
3,4,1,1,2,3,1,1,1,13,leimus; interaktiivne; epp; näitus; ivar
1,2,1,2,2,3,3,0,1,13,leimus; interaktiivne; epp; näitus; ivar
0,2,2,2,2,3,2,2,1,13,leimus; interaktiivne; epp; näitus; ivar
2,0,1,1,3,3,2,1,1,13,leimus; epp; kollektsioon; näitus; ivar
1,0,2,0,2,2,3,1,1,13,interaktiivne; epp; kollektsioon; näitus; ivar
