EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,5,3,3,3,3,5,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
1,4,5,3,3,3,3,5,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
1,4,5,3,3,3,3,5,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
1,4,5,3,3,3,3,5,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
1,4,5,3,3,4,3,6,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
1,4,5,3,3,4,3,6,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
2,4,4,4,3,3,3,6,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
0,4,4,5,3,3,3,6,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
3,4,4,5,2,3,4,4,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
4,3,4,3,2,2,3,4,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
5,5,5,3,2,2,5,5,5,10,ema; raamat; lugema; koguja; inimene; isa; kirjutama
