EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,7,5,8,7,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,9,8,5,8,8,5,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,9,8,6,6,8,8,6,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
7,7,10,7,6,9,9,9,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
7,7,11,6,6,8,9,7,4,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
8,10,10,6,6,8,9,9,5,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
