EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,6,4,4,4,7,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,6,5,6,4,4,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,6,5,6,4,4,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,6,5,6,4,4,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,6,6,6,4,4,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,6,7,6,4,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
8,5,7,6,4,6,4,8,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,5,6,7,4,6,7,8,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,7,5,7,5,8,8,9,4,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
7,6,7,7,3,8,7,8,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,5,7,7,4,8,7,7,6,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
