EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
7,5,5,5,6,7,3,6,8,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; mart; eerik; valgus
