EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,1,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
4,2,1,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
4,2,1,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
4,2,1,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
4,2,1,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
4,2,2,3,2,2,2,4,1,14,koalitsioon; harry; aktsia; mälberg; mall; juhan
3,1,4,4,1,1,3,2,1,14,harry; mall; koalitsioon; aktsia; mälberg; juhan
3,1,3,3,1,1,2,3,1,14,harry; mall; koalitsioon; aktsia; mälberg; juhan
1,2,3,5,2,3,2,1,1,14,harry; mall; koalitsioon; aktsia; mälberg; juhan
2,0,3,4,1,2,2,1,1,14,koalitsioon; harry; aktsia; mälberg; juhan; mall
2,3,3,4,1,3,1,1,1,14,harry; mall; koalitsioon; aktsia; mälberg; juhan
