EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,10,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
9,10,6,9,8,7,6,12,11,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
