EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,8,5,9,3,6,6,6,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
