EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
5,10,11,7,6,11,10,10,11,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
