EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,9,4,8,5,6,4,7,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
4,9,4,8,5,6,4,7,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
4,9,5,8,5,6,4,7,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
4,9,6,8,5,6,4,7,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
4,7,6,8,5,6,5,8,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
5,7,6,8,5,5,7,6,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; publik; võim; anders
5,8,4,9,5,6,6,9,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; härm; publik; võim; anders
3,9,7,9,4,6,7,9,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
6,7,5,8,6,6,3,8,5,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; härm; publik; võim; anders
3,5,5,7,6,4,5,6,6,15,kriitik; institutsioon; kunstimuuseum; härm; kunstimaailm; reaalne; anders; publik; liit; kunstnik; võim; kuraator
5,7,7,6,6,5,8,5,7,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
