EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,5,2,4,4,3,4,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,5,5,5,2,4,4,3,4,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,5,5,5,2,4,4,3,5,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,5,5,5,2,4,4,3,5,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,5,5,5,2,4,4,3,5,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,5,4,5,2,4,4,3,4,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
8,5,4,5,2,2,4,6,4,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
7,5,5,5,2,3,4,6,5,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
8,5,5,5,2,3,4,6,4,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
6,5,5,5,2,3,4,7,5,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; lasteraamat; sõna; hiidlane; lili
5,4,5,4,2,3,4,7,5,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
