EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,5,7,6,2,5,3,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,7,6,2,5,4,6,6,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,5,8,6,2,5,4,6,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,6,7,6,2,4,5,7,5,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,6,7,7,2,5,5,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,6,7,7,3,7,4,8,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
