EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,4,2,5,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
6,6,4,4,2,5,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
6,6,4,4,2,5,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
6,6,5,4,2,5,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
6,5,7,4,2,5,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
7,5,7,4,2,7,3,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
7,5,6,4,2,6,5,5,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
7,5,8,5,2,4,4,5,4,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
6,3,7,4,2,5,5,6,4,10,film; loosung; toimetus; saade; režissöör; raadio; fotograaf; buss; kirjandus; televisioon
7,6,5,6,3,4,5,8,4,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
6,2,5,6,2,5,6,6,3,10,film; loosung; toimetus; saade; raadio; režissöör; fotograaf; buss; kirjandus; televisioon
