EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,9,9,8,6,5,5,7,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
