EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
3,1,5,1,0,2,4,5,5,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus
