EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
2,4,2,2,1,3,2,3,4,11,strandberg; marek; telekas; analoogantenn; valgus; signaal
