EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
3,2,1,1,0,1,1,2,1,11,jaan; tädi; näitleja; talent
