EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,2,0,2,3,3,2,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,2,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,2,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
3,2,1,2,0,2,3,3,1,10,sünnipäev; kirik; ameerika; tempel; ori; laulma; jumalateenistus
