EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
4,6,2,5,1,4,4,4,3,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; kohustuseaasta; plaan; ehitaja; nõukogu; kommunistlik; liit
