EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,4,2,6,8,5,8,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
6,6,3,4,2,6,8,5,9,11,vaev; põrm; savi; muld; hing; jänesekapsas; hirm; kevadine; ihu; kopsurohi; metsaalune
