EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
2,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
3,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; amazon; uudis; internet; tehnoloogia; reklaamitulu
5,2,3,4,2,4,3,5,4,14,dvd-plaat; kommentaar; cbs; telejaam; port; katsepolügoon; amazon; uudis; internet; tehnoloogia; reklaamitulu
5,2,3,3,2,5,3,5,4,14,dvd-plaat; kommentaar; cbs; port; telejaam; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
5,4,3,3,2,5,4,5,4,14,dvd-plaat; telejaam; cbs; kommentaar; port; katsepolügoon; uudis; amazon; internet; tehnoloogia; reklaamitulu
