EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,4,2,1,4,5,5,3,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,3,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,3,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,3,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,4,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
2,5,4,2,1,4,5,5,3,16,kaevamine; narvas; aivar; kriska; materjal; orgaaniline; kultuur; muistis; arheoloogiline; keraamika
