EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,4,5,4,3,4,3,1,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,4,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
5,2,5,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,2,5,5,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
7,2,5,4,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
6,2,4,4,4,3,4,3,2,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
