EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,5,2,1,4,4,4,0,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
2,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,2,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
1,5,5,2,1,4,4,4,1,12,teadusrakendus; teaduspreemia; tulevik; teadlane; akadeemia; peaminister; saal; iseseisvuspäev; tulemus
