EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
6,7,6,8,4,6,6,7,8,12,mängima; elu; käima; kaart; laul; mäng; trump; saatus; varrukas
