EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,3,3,4,4,4,7,12,edasitoimetamine; saun; martin; vangla; nurk; põrand; raamat; sidepidamine; kavalus; ämber; võitlus
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,8,12,saun; martin; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat
3,4,3,3,3,4,4,4,7,12,edasitoimetamine; saun; martin; vangla; nurk; põrand; raamat; sidepidamine; kavalus; ämber; võitlus
3,4,3,3,3,4,4,4,7,12,edasitoimetamine; saun; martin; vangla; nurk; põrand; raamat; sidepidamine; kavalus; ämber; võitlus
3,4,3,3,3,4,4,4,7,12,edasitoimetamine; saun; martin; vangla; nurk; põrand; raamat; sidepidamine; kavalus; ämber; võitlus
