EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,4,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,3,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
0,2,0,2,0,0,0,0,3,12,jaanuar; lõpp; lähedane; aasta
