Diversity,Model,Score
diversity_6,multi_e5,0.09430236597290262
diversity_7,multi_e5,0.09346588591815631
diversity_5,multi_e5,0.0905459523945076
diversity_4,multi_e5,0.08989972362327883
diversity_1,multi_e5,0.0898691985927538
diversity_2,multi_e5,0.0898691985927538
diversity_3,multi_e5,0.0898691985927538
diversity_0,multi_e5,0.0898691985927538
diversity_8,multi_e5,0.08853778049340486
diversity_9,multi_e5,0.08171240669757182
diversity_6,LaBSE,0.08166036079026276
diversity_7,LaBSE,0.08105676320201603
diversity_7,MiniLM_multi,0.07953149755587836
diversity_5,LaBSE,0.07939223799840416
diversity_8,MiniLM_multi,0.07914903449281674
diversity_10,LaBSE,0.07854726516555721
diversity_4,LaBSE,0.07829439838340767
diversity_6,MiniLM_multi,0.07624559249946247
diversity_5,MiniLM_multi,0.07590555931951701
diversity_3,MiniLM_multi,0.07583996133725236
diversity_1,MiniLM_multi,0.07583996133725236
diversity_2,MiniLM_multi,0.07583996133725236
diversity_0,MiniLM_multi,0.07583996133725236
diversity_9,MiniLM_multi,0.07581558870839057
diversity_4,MiniLM_multi,0.07533491083220185
diversity_7,MiniLM-L12_multi,0.07505542521538393
diversity_3,LaBSE,0.0745780116187753
diversity_6,MiniLM-L12_multi,0.07418002178515595
diversity_2,LaBSE,0.07415308931885299
diversity_1,LaBSE,0.07415308931885299
diversity_0,LaBSE,0.07415308931885299
diversity_8,MiniLM-L12_multi,0.07312070927009008
diversity_9,LaBSE,0.07247695194096124
diversity_10,MiniLM_multi,0.07177683854863938
diversity_10,multi_e5,0.07123376451549826
diversity_5,MiniLM-L12_multi,0.07102070618388988
diversity_1,MiniLM-L12_multi,0.07046427187745558
diversity_0,MiniLM-L12_multi,0.07046427187745558
diversity_3,MiniLM-L12_multi,0.07046427187745558
diversity_2,MiniLM-L12_multi,0.07046427187745558
diversity_8,LaBSE,0.07019084728385554
diversity_4,MiniLM-L12_multi,0.07006744648063018
diversity_4,EstBERT,0.06925580861919871
diversity_0,EstBERT,0.06888543824882834
diversity_2,EstBERT,0.06888543824882834
diversity_3,EstBERT,0.06888543824882834
diversity_1,EstBERT,0.06888543824882834
diversity_9,MiniLM-L12_multi,0.06870824852249001
diversity_5,EstBERT,0.06826203444817996
diversity_10,MiniLM-L12_multi,0.06643393729307043
diversity_6,EstBERT,0.062370237763039627
diversity_3,est-roberta,0.057587492367549134
diversity_1,est-roberta,0.057190666970723725
diversity_0,est-roberta,0.057190666970723725
diversity_2,est-roberta,0.057190666970723725
diversity_4,est-roberta,0.056754159034215795
diversity_7,EstBERT,0.05621791435258927
diversity_8,EstBERT,0.05524526079737638
diversity_5,est-roberta,0.05405955029471542
diversity_6,est-roberta,0.05377726110891746
diversity_7,est-roberta,0.0488113214280655
diversity_9,EstBERT,0.04842204113682442
diversity_10,EstBERT,0.04811551215382484
diversity_8,est-roberta,0.041481305549933005
diversity_9,est-roberta,0.040283893881030104
diversity_10,est-roberta,0.03864578117674093
diversity_7,bertMulti,0.03849803969966509
diversity_8,bertMulti,0.03582585848581721
diversity_4,bertMulti,0.03509311845418656
diversity_1,bertMulti,0.03509311845418656
diversity_2,bertMulti,0.03509311845418656
diversity_3,bertMulti,0.03509311845418656
diversity_10,bertMulti,0.03487104057601993
diversity_0,bertMulti,0.034722748083816195
diversity_5,bertMulti,0.03420280506387318
diversity_10,distilbertMulti,0.03399687389302972
diversity_8,distilbertMulti,0.03364284260440091
diversity_9,distilbertMulti,0.03343450927106758
diversity_10,xml_roberta,0.03331287709061187
diversity_0,distilbertMulti,0.033289590192324976
diversity_9,bertMulti,0.033264061049793764
diversity_6,xml_roberta,0.033079665528065946
diversity_5,distilbertMulti,0.032826627229362006
diversity_2,distilbertMulti,0.032826627229362006
diversity_7,distilbertMulti,0.032826627229362006
diversity_6,distilbertMulti,0.032826627229362006
diversity_4,distilbertMulti,0.032826627229362006
diversity_3,distilbertMulti,0.032826627229362006
diversity_1,distilbertMulti,0.032826627229362006
diversity_6,bertMulti,0.0327671034198382
diversity_4,xml_roberta,0.03273244330584372
diversity_5,xml_roberta,0.03244384301724343
diversity_3,xml_roberta,0.03140321697661739
diversity_7,xml_roberta,0.031171735495135907
diversity_2,xml_roberta,0.03088327395667437
diversity_0,xml_roberta,0.03053238256411631
diversity_1,xml_roberta,0.030512903586304
diversity_8,xml_roberta,0.030156523854924268
diversity_9,xml_roberta,0.03013782909938741
