EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,4,5,7,4,4,3,3,2,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,3,5,7,4,4,3,3,2,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,2,5,7,4,4,3,2,2,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,3,6,6,4,5,4,2,2,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
8,1,7,6,4,4,4,3,3,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,1,6,6,5,3,3,5,3,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
9,1,7,6,5,4,2,6,3,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
8,1,8,5,5,6,2,4,3,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
6,3,7,3,5,6,2,5,5,12,seljakott; trepp; madis; tuletõrje; korrus; vaheoja; aesma; indrek; jooks
6,2,7,3,7,6,3,6,6,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
6,2,7,5,7,6,2,6,8,12,seljakott; madis; tuletõrje; korrus; jooks; vaheoja; aesma; indrek; trepp
