EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,3,2,7,4,5,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,5,4,2,7,4,5,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,6,3,2,7,4,5,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,7,3,2,7,4,5,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,6,1,2,7,6,5,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,6,6,2,3,5,4,4,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,6,6,3,5,6,3,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
4,5,4,6,2,3,6,3,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
5,5,3,6,2,4,6,3,4,11,külaline; meeleliigutus; maastik; eesti; austraalia; ludwig; asundus; kanakasvataja; hoolitsemine
6,5,4,7,1,4,5,4,4,11,külaline; meeleliigutus; maastik; austraalia; eesti; ludwig; asundus; kanakasvataja; hoolitsemine
7,5,4,6,2,3,5,5,5,11,külaline; meeleliigutus; maastik; austraalia; eesti; ludwig; asundus; kanakasvataja; hoolitsemine
