EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,6,4,4,4,3,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,5,4,6,4,4,4,3,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,4,4,6,4,4,6,4,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,3,4,6,4,5,7,4,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
4,3,5,6,4,6,7,4,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,3,5,5,4,6,7,4,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,4,6,4,5,6,6,6,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,3,6,7,3,6,5,5,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
6,2,6,6,5,7,6,6,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,2,6,5,4,7,5,7,4,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
5,2,5,5,5,8,4,7,3,12,raadioarhiiv; iroonia; unt; kollane; intervjuu; mati; viivi; kass
