EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,5,6,5,5,3,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
6,6,5,5,6,5,6,3,4,12,hämarik; robert; faehlmann; päike; friedrich; koit
6,6,6,5,6,5,6,3,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
5,6,6,4,6,5,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,5,5,4,6,6,5,4,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
5,6,5,4,6,6,5,5,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,6,5,6,6,5,5,6,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
5,4,5,6,5,5,5,6,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
4,5,5,6,5,5,5,6,5,12,hämarik; robert; faehlmann; päike; friedrich; koit
3,3,5,6,5,5,5,6,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
3,4,5,6,4,5,6,6,4,12,hämarik; faehlmann; robert; päike; friedrich; koit
