EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,8,5,7,6,5,5,6,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,5,7,5,7,6,5,5,6,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
5,5,6,5,7,5,5,5,6,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,5,6,4,7,4,5,4,6,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,5,6,3,7,5,6,3,6,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,7,5,3,7,6,5,3,6,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
5,6,4,4,7,5,5,6,5,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,4,4,4,7,5,4,3,5,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
5,5,4,4,6,5,4,2,4,12,margo; soome; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,2,4,3,6,5,3,3,7,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
4,3,2,5,5,5,3,4,8,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
