EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,2,5,4,2,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,3,4,1,2,5,4,2,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,3,4,1,2,5,3,4,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,3,4,1,2,5,3,3,1,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,3,5,1,3,5,2,4,1,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,2,4,1,3,3,3,4,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
2,3,3,4,3,0,4,3,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,1,3,3,3,1,2,6,3,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,4,3,4,3,0,3,5,3,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,3,4,4,2,0,3,5,2,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
3,1,4,4,2,0,3,5,3,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
