EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,9,9,12,9,9,4,9,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,9,9,12,9,9,4,9,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,11,9,12,7,9,4,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,10,9,12,8,8,4,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,11,9,12,6,6,7,11,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,8,10,10,12,6,6,9,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,9,9,10,12,8,7,9,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
7,9,9,11,12,10,7,10,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
7,8,10,11,11,10,6,10,10,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
7,8,10,10,11,10,6,10,9,15,autor; urmas; vadi; vikerraadio; tõlge; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
8,8,9,9,10,9,7,10,9,15,autor; urmas; vadi; vikerraadio; tõlge; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
