EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,0,2,0,1,0,1,10,energia; pall; töö
2,2,2,0,2,0,1,0,1,10,energia; pall; töö
1,2,2,0,2,1,1,0,1,10,energia; pall; töö
1,2,2,0,2,1,1,0,1,10,energia; pall; töö
1,2,2,0,2,1,1,0,1,10,energia; pall; töö
1,2,1,0,2,1,1,0,1,10,pall; töö; energia
1,2,2,0,3,1,1,2,1,10,energia; pall; töö
1,2,2,2,2,1,1,3,3,10,energia; pall; töö
0,1,0,2,1,1,1,2,2,10,energia; pall; töö
0,1,3,2,1,1,1,3,2,10,energia; pall; töö
0,1,3,3,1,1,1,2,2,10,energia; pall; töö
