EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,6,8,7,9,5,8,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
6,7,8,6,8,7,9,5,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
6,7,9,6,9,7,8,5,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
4,8,9,6,9,8,7,5,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
4,7,9,6,8,9,8,7,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
6,6,6,6,8,9,8,8,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; karl; silver; sagrits
5,7,6,6,8,9,8,7,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; karl; silver; sagrits
4,7,6,4,8,8,6,7,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; karl; silver; sagrits
5,6,7,6,8,9,6,8,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; karl; silver; sagrits
7,6,7,6,8,9,6,8,8,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; karl; silver; sagrits
7,6,7,6,7,9,6,7,8,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; karl; silver; sagrits
