EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,7,4,4,5,6,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
6,4,7,5,4,5,6,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
6,4,5,4,4,5,7,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,3,5,4,4,5,7,5,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,3,5,4,4,4,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,3,5,4,4,4,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,4,5,4,4,4,5,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,4,5,4,5,6,4,6,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,4,6,6,4,6,4,5,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,4,7,6,4,7,4,7,5,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,5,7,6,4,7,4,7,4,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
