EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,4,1,2,3,4,2,2,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
2,1,5,1,2,3,4,2,2,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,0,3,0,2,3,4,2,2,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
2,0,5,0,3,4,5,1,2,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
2,0,3,1,3,4,5,1,2,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
2,0,2,1,4,4,2,0,2,13,erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
1,0,2,1,3,6,4,1,2,13,erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
1,0,1,2,4,5,4,2,1,13,erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
1,0,1,3,4,4,2,1,0,13,erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
0,0,3,2,4,4,2,1,0,13,erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
0,0,0,3,3,3,1,1,0,13,erakond; brüssel; 4000; tanel; luksemburg; talve; muusikafestival
