EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,4,7,6,6,4,6,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,5,6,4,8,5,5,4,6,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,5,6,4,8,5,5,4,6,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
3,5,6,4,8,4,5,4,6,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
3,4,7,4,8,4,5,5,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,5,5,4,8,4,4,6,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,5,5,5,8,3,5,6,5,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,5,6,7,8,4,6,5,4,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,5,6,8,8,4,5,6,4,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,5,5,8,8,5,6,6,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,4,4,8,8,5,6,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
