EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,7,5,5,1,2,3,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,7,5,5,2,3,3,2,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,7,5,6,2,3,4,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,4,5,6,2,3,3,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,4,4,6,2,4,3,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,4,3,7,3,4,3,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
2,4,3,1,7,4,4,3,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
4,4,2,4,7,4,5,5,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
2,4,2,5,7,4,4,5,3,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
2,3,2,5,7,5,4,6,4,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
3,3,3,5,7,4,4,6,5,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
