EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,6,4,2,2,5,5,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,7,4,4,3,2,5,5,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,6,4,4,4,3,5,4,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,6,4,4,5,3,4,5,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,3,4,5,4,5,6,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,3,4,5,3,3,5,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,4,5,5,3,3,4,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,4,3,5,3,4,3,3,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,4,4,5,3,4,2,4,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
4,5,4,4,4,3,4,2,6,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
3,5,3,4,4,4,4,2,5,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
