EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,9,4,6,4,7,5,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,6,9,4,6,4,7,5,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,7,9,4,6,5,7,5,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,6,9,4,6,6,6,4,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,7,8,5,6,5,6,4,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,7,6,4,6,5,7,6,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
5,8,4,5,5,5,7,7,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
5,8,2,7,5,3,7,6,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
5,8,2,8,5,2,7,6,6,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
4,6,3,8,5,3,5,7,7,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
3,7,2,6,5,4,4,6,5,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
