EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,5,1,4,5,5,1,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
4,2,5,1,4,6,5,1,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
4,2,5,1,3,6,5,1,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
4,2,5,2,3,5,4,1,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
4,2,4,2,3,5,5,2,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
2,2,4,3,3,6,5,3,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
2,2,4,3,3,4,5,3,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
1,2,4,4,3,4,4,2,3,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
2,2,5,4,3,4,4,4,4,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
1,1,4,4,5,4,4,4,6,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
2,2,4,5,6,4,4,5,5,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
