EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,10,4,7,3,4,5,4,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
8,9,10,4,7,4,5,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
7,8,10,4,8,6,5,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
7,8,9,4,8,6,6,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
7,8,8,4,8,5,6,7,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
7,8,7,3,8,5,6,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
6,8,5,2,8,8,7,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
4,8,6,2,7,8,6,7,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
3,8,6,6,8,7,5,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
4,7,5,8,8,7,6,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
5,7,7,8,7,8,7,6,5,13,arvutipark; port; thomas; blogi; suurelt; arvuti; watson; kristjan; google; tehnoloogia; mõtle
