Model,Average Score
multi_e5,0.43868339598268535
LaBSE,0.4214018971407094
EstBERT,0.3998265232793566
MiniLM_multi,0.39886085320776665
bertMulti,0.39195207619022
MiniLM-L12_multi,0.38461829905170036
est-roberta,0.38249360313132713
distilbertMulti,0.37404282346801576
xml_roberta,0.37009925707282393
