EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,9,7,5,8,8,6,3,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
8,7,8,7,5,8,8,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
9,7,8,7,5,8,7,6,3,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
9,7,9,7,5,9,8,8,3,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
9,8,9,7,4,9,6,8,3,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
9,8,8,7,5,9,7,9,4,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
9,8,8,7,5,9,9,9,4,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
8,8,7,6,5,8,10,7,5,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
8,8,7,5,5,8,7,8,4,12,kommunism; iroonia; unt; imelaps; kunstid; kirjandus; mati; klassik; kaunid; kirjutama
8,8,7,6,8,9,7,9,5,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
7,8,8,6,8,7,7,9,8,12,imelaps; kirjandus; mati; klassik; kaunid; kommunism; iroonia; unt; kunstid; kirjutama
