EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,6,6,5,5,6,6,6,13,kristus; fresko; villem; eesti; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
9,6,6,6,6,5,6,6,6,13,kristus; fresko; villem; eesti; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
9,5,6,6,6,6,6,6,7,13,kristus; fresko; villem; eesti; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
9,5,7,6,6,6,5,6,7,13,kristus; fresko; villem; eesti; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
9,5,7,6,6,5,5,6,7,13,kristus; fresko; villem; eesti; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
7,6,7,6,6,4,6,6,7,13,villem; fresko; eesti; kirik; kristus; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
6,5,7,8,6,6,4,6,7,13,kristus; villem; eesti; kirik; fresko; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
4,7,6,9,6,5,7,7,7,13,kristus; villem; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
4,7,8,8,6,6,5,8,6,13,kristus; villem; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
4,7,6,7,9,7,4,5,8,13,kristus; villem; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
4,7,6,8,8,7,5,5,9,13,kristus; villem; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
