EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,7,8,9,7,4,8,6,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,9,8,8,9,7,4,8,6,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,9,9,8,9,7,4,8,6,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,9,9,8,9,7,4,8,7,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
9,9,9,9,8,7,8,9,7,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
9,9,9,9,8,9,7,9,7,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,8,9,8,7,10,8,7,8,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
8,8,8,7,7,9,8,8,10,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
8,8,9,9,6,10,9,8,10,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
7,8,8,7,7,10,9,9,10,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
5,8,9,7,10,9,9,8,10,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
