EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,10,10,10,10,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,10,10,11,10,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,10,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,10,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,10,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,10,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,11,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,11,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,11,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,11,10,11,11,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,11,10,11,11,11,11,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
