EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,8,8,5,7,7,9,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
7,4,8,8,5,7,7,9,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
7,4,8,8,5,7,7,9,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,3,8,8,5,8,7,9,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,3,9,8,6,8,6,9,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
5,4,9,7,7,9,9,8,7,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,4,8,6,7,9,8,9,8,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,5,9,4,7,8,8,9,8,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,4,8,4,7,7,9,7,8,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,5,8,4,6,7,8,8,8,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
6,6,7,4,6,7,7,9,9,10,äri; ameerika; tähendus; sport; meedia; võitlus; elukutse; jalgpall; euroopa
