EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,3,6,3,7,5,4,4,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
8,6,3,6,4,6,5,5,4,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
8,6,3,6,4,6,5,7,4,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
8,6,4,6,6,9,5,7,5,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
8,6,6,5,6,9,5,8,5,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
7,5,5,6,6,6,5,7,5,13,chapaev; stalin; prototüüp; tuhkatriinu; nõukogude; film; masnikova; varvara; propagandafilm
6,5,6,8,7,7,5,8,5,13,chapaev; prototüüp; stalin; tuhkatriinu; film; nõukogude; masnikova; varvara; propagandafilm
5,6,7,9,5,6,6,7,6,13,chapaev; prototüüp; stalin; tuhkatriinu; film; nõukogude; masnikova; varvara; propagandafilm
5,6,9,7,5,5,6,6,6,13,chapaev; prototüüp; stalin; tuhkatriinu; film; nõukogude; masnikova; varvara; propagandafilm
4,6,7,7,6,5,5,6,6,13,chapaev; prototüüp; stalin; tuhkatriinu; film; nõukogude; masnikova; varvara; propagandafilm
3,5,8,7,6,4,6,6,7,13,chapaev; prototüüp; stalin; tuhkatriinu; film; nõukogude; masnikova; varvara; propagandafilm
