EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,6,2,4,4,6,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
5,6,5,6,2,5,4,6,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,6,5,6,2,6,4,6,3,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,6,4,4,3,7,5,6,4,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
7,5,3,5,3,7,6,5,4,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
6,5,2,5,4,7,6,6,4,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
3,4,3,3,5,6,6,5,4,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
3,2,5,4,4,6,5,5,5,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
3,5,3,3,4,6,4,5,5,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
4,4,3,5,5,6,3,5,5,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
3,3,4,5,5,6,5,7,5,13,laps; peegel; betti; tütarlaste; lesk; mõrane; rätsep; kurat
