EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,6,5,5,5,7,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
7,5,6,6,5,5,5,6,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
7,5,6,6,6,5,5,6,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
7,5,6,6,7,5,5,6,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
7,5,6,6,7,5,5,6,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
7,5,7,7,7,5,6,6,6,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
6,5,6,6,7,6,4,7,7,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
5,5,4,6,7,6,4,6,7,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
3,4,6,7,7,7,4,6,6,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
3,5,4,7,7,5,5,6,5,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
3,6,4,7,7,4,5,7,7,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
