EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,2,6,4,4,6,2,15,biitlid; maania; lennon; epstein; george; brian; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
6,5,3,2,6,4,4,6,2,15,biitlid; maania; lennon; epstein; george; brian; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
6,5,6,3,6,4,4,6,2,15,biitlid; maania; lennon; epstein; george; brian; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
6,4,7,3,6,5,4,5,4,15,biitlid; maania; lennon; epstein; george; brian; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
7,5,6,3,7,5,5,6,4,15,biitlid; maania; lennon; epstein; brian; george; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
7,4,5,3,8,8,7,8,4,15,biitlid; lennon; george; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison
4,5,7,7,8,7,6,9,4,15,biitlid; lennon; george; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison
4,6,9,8,8,7,6,7,6,15,biitlid; lennon; george; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison
5,6,9,8,8,6,9,10,6,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
4,4,7,7,9,5,8,9,8,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
4,5,7,6,9,8,8,9,8,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; harrison; mccartney; ringo; george
