EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,7,11,3,9,8,9,6,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
11,10,7,11,3,9,8,9,6,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
11,10,7,11,3,9,8,9,6,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
11,10,7,11,3,9,8,9,6,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
11,8,7,9,4,9,8,9,6,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
10,9,9,8,4,10,10,9,7,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
6,8,9,6,4,8,9,9,7,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
4,7,7,6,4,6,7,9,7,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
5,6,9,4,5,5,9,4,7,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
5,8,5,4,5,5,7,4,8,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
5,7,4,4,4,4,8,4,8,13,võõrkeel; haridussüsteem; keeleõppe; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keelepoliitika; keel; keelterikas; keeleoskus
