EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,4,4,3,3,2,5,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
3,4,4,4,4,3,3,2,5,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
3,4,3,4,4,3,3,3,5,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
4,3,3,4,4,4,3,3,5,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
4,4,3,4,4,4,3,3,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
1,4,4,5,4,3,3,3,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
4,4,4,3,4,5,4,3,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
4,4,4,4,4,5,2,2,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
5,4,4,4,5,4,3,3,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
5,4,4,4,5,4,3,3,4,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
6,4,3,3,4,3,3,3,3,13,süüria; eesti; hobuse; keele; kreeka; tööjõupuudus
