EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
15,15,7,4,11,8,5,9,14,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,15,7,5,11,8,5,9,14,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,13,8,5,11,8,5,9,14,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,11,8,5,12,7,5,8,14,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
14,14,10,5,14,8,6,7,14,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
14,11,12,7,13,7,6,9,14,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
13,10,12,15,12,8,11,12,13,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
9,12,11,12,16,8,9,13,13,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
8,10,10,13,16,10,10,14,14,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
9,10,8,14,13,6,9,12,15,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
8,10,12,14,13,7,11,12,15,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
