EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
6,6,6,6,6,6,6,6,6,14,plaan; ehitusvalitsus; kollektiiv; nõukogude; kohustuseaasta; partei
