EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,2,2,3,2,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,3,3,2,2,3,2,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,2,3,2,2,2,3,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,3,3,2,2,3,3,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,3,3,2,2,1,2,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,4,4,1,2,3,3,1,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
3,3,3,1,1,1,4,4,1,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
2,3,3,2,0,3,3,5,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
2,2,4,2,1,4,2,5,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
2,2,5,2,1,2,3,5,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
2,1,4,2,3,3,2,5,2,10,häda; käsikiri; kriitika; kuulsus; kirjastaja
