EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,6,2,3,5,5,6,4,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
4,7,6,2,3,5,5,6,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
4,7,6,2,3,5,6,6,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,7,4,2,2,5,5,6,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
6,5,4,2,2,5,5,4,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
6,5,5,2,2,5,3,4,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
2,4,7,2,3,3,4,5,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
3,4,5,3,3,3,3,2,4,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
3,6,5,4,3,4,2,3,4,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
1,4,5,4,3,2,3,3,4,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
1,5,5,4,3,2,2,3,3,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
